Time,time,team,towers,team_gold,team_kills,top_kill,top_death,top_assist,top_gold,jungle_kill,jungle_death,jungle_assist,jungle_gold,mid_kill,mid_death,mid_assist,mid_gold,bot_kill,bot_death,bot_assist,bot_gold,supp_kill,supp_death,supp_assist,supp_gold
67,01:07,STM,0,4400,0,0,1,0,813,0,0,0,933,0,0,0,1077,0,0,0,857,0,0,0,722
67,01:07,JDG,0,5500,1,1,0,0,1572,0,0,0,933,0,0,0,1122,0,0,0,1045,0,0,0,855
68,01:08,STM,0,4600,0,0,1,0,820,0,0,0,940,0,0,0,1084,0,0,0,994,0,0,0,794
68,01:08,JDG,0,5600,1,1,0,0,1579,0,0,0,940,0,0,0,1129,0,0,0,1052,0,0,0,862
70,01:10,STM,0,4700,0,0,1,0,823,0,0,0,943,0,0,0,1088,0,0,0,1038,0,0,0,818
70,01:10,JDG,0,5600,1,1,0,0,1583,0,0,0,943,0,0,0,1133,0,0,0,1055,0,0,0,865
71,01:11,STM,0,4900,0,0,1,0,892,0,0,0,971,0,0,0,1091,0,0,0,1081,0,0,0,841
71,01:11,JDG,0,5600,1,1,0,0,1586,0,0,0,947,0,0,0,1136,0,0,0,1059,0,0,0,869
72,01:12,STM,0,4900,0,0,1,0,895,0,0,0,998,0,0,0,1095,0,0,0,1085,0,0,0,845
72,01:12,JDG,0,5600,1,1,0,0,1590,0,0,0,950,0,0,0,1140,0,0,0,1062,0,0,0,872
73,01:13,STM,0,4900,0,0,1,0,899,0,0,0,1014,0,0,0,1098,0,0,0,1088,0,0,0,848
73,01:13,JDG,0,5700,1,1,0,0,1593,0,0,0,954,0,0,0,1208,0,0,0,1066,0,0,0,876
74,01:14,STM,0,5000,0,0,1,0,942,0,0,0,1041,0,0,0,1102,0,0,0,1092,0,0,0,852
74,01:14,JDG,0,5700,1,1,0,0,1597,0,0,0,957,0,0,0,1212,0,0,0,1069,0,0,0,879
75,01:15,STM,0,5100,0,0,1,0,986,0,0,0,1057,0,0,0,1105,0,0,0,1095,0,0,0,855
75,01:15,JDG,0,5700,1,1,0,0,1600,0,0,0,961,0,0,0,1215,0,0,0,1073,0,0,0,883
76,01:16,STM,0,5200,0,0,1,0,989,0,0,0,1060,0,0,0,1174,0,0,0,1099,0,0,0,859
76,01:16,JDG,0,5700,1,1,0,0,1604,0,0,0,964,0,0,0,1219,0,0,0,1076,0,0,0,886
77,01:17,STM,0,5200,0,0,1,0,993,0,0,0,1064,0,0,0,1177,0,0,0,1102,0,0,0,862
77,01:17,JDG,0,5900,1,1,0,0,1607,0,0,0,1130,0,0,0,1222,0,0,0,1080,0,0,0,890
78,01:18,STM,0,5200,0,0,1,0,996,0,0,0,1067,0,0,0,1181,0,0,0,1106,0,0,0,866
78,01:18,JDG,0,5900,1,1,0,0,1611,0,0,0,1133,0,0,0,1226,0,0,0,1083,0,0,0,893
79,01:19,STM,0,5200,0,0,1,0,1000,0,0,0,1071,0,0,0,1184,0,0,0,1109,0,0,0,869
79,01:19,JDG,0,6000,1,1,0,0,1614,0,0,0,1137,0,0,0,1269,0,0,0,1087,0,0,0,917
80,01:20,STM,0,5300,0,0,1,0,1003,0,0,0,1074,0,0,0,1218,0,0,0,1113,0,0,0,873
80,01:20,JDG,0,6100,1,1,0,0,1618,0,0,0,1140,0,0,0,1338,0,0,0,1090,0,0,0,953
81,01:21,STM,0,5300,0,0,1,0,1007,0,0,0,1078,0,0,0,1236,0,0,0,1116,0,0,0,876
81,01:21,JDG,0,6200,1,1,0,0,1621,0,0,0,1144,0,0,0,1341,0,0,0,1159,0,0,0,956
82,01:22,STM,0,5300,0,0,1,0,1014,0,0,0,1085,0,0,0,1243,0,0,0,1123,0,0,0,883
82,01:22,JDG,0,6300,1,1,0,0,1628,0,0,0,1151,0,0,0,1348,0,0,0,1166,0,0,0,963
84,01:24,STM,0,5400,0,0,1,0,1017,0,0,0,1088,0,0,0,1247,0,0,0,1127,0,0,0,887
84,01:24,JDG,0,6400,1,1,0,0,1632,0,0,0,1154,0,0,0,1437,0,0,0,1169,0,0,0,1009
85,01:25,STM,0,5500,0,0,1,0,1086,0,0,0,1092,0,0,0,1250,0,0,0,1195,0,0,0,890
85,01:25,JDG,0,6400,1,1,0,0,1635,0,0,0,1158,0,0,0,1440,0,0,0,1173,0,0,0,1013
86,01:26,STM,0,5500,0,0,1,0,1089,0,0,0,1095,0,0,0,1254,0,0,0,1199,0,0,0,894
86,01:26,JDG,0,6400,1,1,0,0,1639,0,0,0,1161,0,0,0,1444,0,0,0,1176,0,0,0,1016
87,01:27,STM,0,5600,0,0,1,0,1093,0,0,0,1129,0,0,0,1257,0,0,0,1202,0,0,0,897
87,01:27,JDG,0,6500,1,1,0,0,1642,0,0,0,1165,0,0,0,1447,0,0,0,1245,0,0,0,1020
